#{"t_start": 1779068000.972277, "env_id": "None"}
r,l,t
0.026899,3,22.400187
-0.159164,6,22.429217
0.025651,2,22.441828
-0.432805,8,22.481653
-0.00828,5,22.50685
0.057082,5,22.532037
-0.346146,8,22.571457
-0.367357,8,22.610097
-0.01,1,22.616745
-0.200233,7,22.649495
0.053313,3,22.666389
-0.01,1,22.671681
-0.016,2,22.683866
-0.01,1,22.689301
0.060028,5,22.715125
0.077134,11,22.768082
0.06369,8,22.808086
0.000134,4,22.827924
-0.490402,9,22.871807
-0.225093,10,22.923032
-0.01,1,22.92868
-0.232111,12,22.987355
0.060927,2,23.000128
-0.482375,10,23.047239
-0.960403,21,23.145497
-0.671424,6,23.174462
0.06171,3,23.192871
-0.345287,3,23.207518
0.042583,2,23.220098
-0.01,1,23.225999
0.027398,3,23.243828
-0.468727,4,23.263348
-0.016,2,23.273457
-0.237745,5,23.300016
-0.01,1,23.307005
0.039173,2,23.317107
-0.297616,10,23.36568
0.019183,2,23.375694
0.097155,4,23.39801
-0.83522,14,23.460956
0.015665,2,23.470723
-0.574376,16,23.546639
-0.009674,4,23.568524
-0.01,1,23.575014
0.155813,9,23.619411
0.039809,21,23.72113
-0.55422,2,23.732831
0.15959,5,23.757674
-0.478772,7,23.792406
0.024068,5,23.818512
-0.280015,12,23.880914
-0.608042,8,23.921204
-0.262834,13,23.990246
-0.01,1,23.995804
-0.267778,7,24.031917
0.044202,7,24.06702
-0.01,1,24.072354
-0.25042,6,24.101668
-0.295932,3,24.118041
-0.38361,7,24.152053
0.155455,6,24.182438
-0.237717,17,24.26386
0.369784,5,24.290214
-0.526076,12,24.349945
-0.451044,7,24.385576
0.039324,2,24.396092
-0.559953,8,24.439358
-0.016,2,24.450793
-0.090476,6,24.480162
-0.377518,4,24.501146
-0.679783,5,24.529417
0.074011,2,24.540441
0.229886,5,24.566296
-0.01,1,24.573273
-0.293007,16,24.654465
-0.447427,9,24.698093
-0.710328,10,24.746356
-0.432639,5,24.771625
-0.48908,11,24.822971
0.170394,8,24.862947
0.021857,2,24.874413
-0.688802,16,24.957835
-0.561457,9,25.006007
0.006522,3,25.023289
-0.30164,4,25.044415
-0.085544,9,25.088319
-0.639339,3,25.104198
0.274161,7,25.141137
0.086458,3,25.155889
-0.447929,3,25.171526
-0.01,1,25.178605
0.133439,6,25.209786
0.035501,3,25.226514
-0.510055,10,25.27807
0.042358,3,25.295888
0.120146,10,25.345947
0.013832,3,25.361733
-0.646017,16,25.436335
-0.309097,3,25.453995
-0.009131,19,25.547677
-0.422793,9,25.590561
0.017096,2,25.600537
-0.01,1,25.608761
-0.022,3,25.623536
0.118606,6,25.655124
-0.440976,9,25.696737
-0.942018,13,25.76275
0.119356,12,25.823636
0.037885,2,25.836412
-0.298538,14,25.909356
-0.209462,10,25.961776
-0.551267,6,25.989586
-0.674014,11,26.040648
-0.01,1,26.04606
0.004855,3,26.064255
0.067016,3,26.080554
0.179373,4,26.101599
0.016624,3,26.117551
-1.074765,18,26.204782
0.07495,3,26.221211
-0.01,1,26.226584
0.08838,6,26.256538
-0.521439,7,26.291554
-0.01,1,26.29816
-0.343082,10,26.345949
-0.259487,8,26.38636
-0.01,1,26.393623
0.11954,3,26.409757
-0.396272,2,26.420341
0.110966,9,26.463882
-0.01,1,26.470744
0.060085,5,26.497512
-0.189477,3,26.51247
-0.599654,18,26.597775
-0.593833,18,26.685839
0.097528,3,26.701426
-0.01,1,26.706794
0.179689,3,26.72245
0.090755,5,26.748686
0.013926,4,26.769629
-0.446357,8,26.807487
-0.184765,6,26.837606
-0.01,1,26.84462
0.011825,3,26.8602
-0.214337,10,26.911051
-0.01,1,26.916827
-0.002385,2,26.930539
-0.34396,6,26.958098
-0.264578,6,26.987547
-0.009525,5,27.013219
-0.409291,10,27.061815
0.056661,2,27.071673
-0.002757,3,27.087587
-0.305517,9,27.132179
0.069221,5,27.158979
-0.01,1,27.165722
-0.637223,9,27.209168
-0.01,1,27.214741
0.075388,3,27.2326
-0.420244,3,27.248653
-0.241015,23,27.362707
-0.605214,8,27.402006
-0.784478,5,27.428703
0.120808,5,27.453755
-0.534893,2,27.462665
-0.634188,9,27.505606
-0.135377,18,27.59361
-0.01,1,27.599532
-0.402881,9,27.646563
-0.6056,5,27.669841
0.130494,5,27.696116
-0.001007,2,27.707078
-0.01,1,27.712471
0.031734,2,27.723639
0.006151,3,27.740759
-0.210503,5,27.765435
0.119679,6,27.796225
-0.01,1,27.80159
-0.382941,11,27.856054
0.119107,3,27.871524
-0.517954,8,27.908906
0.015173,2,27.918872
-0.610503,35,28.08588
-0.217365,9,28.13026
-0.188279,8,28.170101
-0.01,1,28.175648
-0.654318,4,28.196191
-0.01,1,28.203007
0.114876,2,28.213321
-0.337328,4,28.234363
-0.01,1,28.241426
-0.536856,6,28.271385
-0.008582,3,28.287135
-0.01,1,28.292497
-0.075375,12,28.355006
-0.567211,15,28.425914
-0.655486,3,28.441796
0.059581,5,28.468785
-0.431068,11,28.522
-0.01,1,28.528618
-0.323753,12,28.590405
-0.016,2,28.600997
-0.143023,18,28.693625
-0.043109,12,28.753462
0.076054,3,28.76786
0.081817,2,28.779079
-0.319761,13,28.84077
0.065252,3,28.857454
0.06531,2,28.867613
-1.014472,19,28.96174
0.200292,13,29.026747
0.03558,4,29.047219
0.045272,3,29.064178
-0.01,1,29.069646
-0.876163,11,29.121001
0.040544,5,29.145736
-0.854031,14,29.2126
-0.705367,10,29.261544
0.051934,2,29.275093
-0.016,2,29.285797
-0.764298,27,29.417109
-0.01,1,29.422704
-0.369853,14,29.496547
-0.524486,7,29.531147
-0.707537,14,29.601884
0.074875,4,29.622837
-0.224808,7,29.659407
-0.01,1,29.664742
-0.371905,11,29.720017
-0.531306,23,29.834485
-0.540128,3,29.848475
-0.605491,17,29.93364
0.085117,2,29.944132
-0.50453,5,29.966936
0.229781,5,29.996066
0.242116,5,30.020845
-0.292534,7,30.0546
-0.371279,8,30.094249
-0.275749,4,30.114448
-0.418943,4,30.134101
-0.252601,10,30.181138
-0.529607,10,30.230414
-0.222563,9,30.274725
-0.402992,6,30.304087
0.184554,12,30.362997
0.012297,2,30.374226
0.062305,6,30.406062
-0.400763,4,30.4252
0.037283,15,30.497768
-0.754655,9,30.54028
-0.01,1,30.548473
-0.128811,3,30.561903
-0.412405,8,30.600568
0.115019,4,30.622212
0.058063,3,30.639855
-0.296703,9,30.683326
0.128316,4,30.703977
-0.760042,12,30.761135
-0.390572,12,30.821012
-0.65208,19,30.909963
-0.01,1,30.915459
-0.01,1,30.930385
-0.224027,8,30.97053
-0.563883,14,31.036255
0.05375,3,31.051942
0.086921,3,31.06729
-0.912908,27,31.193716
0.333929,10,31.24457
-0.505841,6,31.274438
-0.54518,14,31.346527
-0.282915,16,31.425504
-0.791311,25,31.543998
0.07685,4,31.56419
-0.181781,2,31.574457
-0.422089,3,31.589669
-0.20167,7,31.623275
-0.669361,9,31.665106
-0.380927,16,31.742826
-0.319809,12,31.802282
0.228726,24,31.918498
-0.346399,10,31.969193
-0.764803,8,32.006176
-0.01,1,32.013
0.095039,17,32.096085
0.025627,4,32.115587
-0.31546,6,32.145803
-0.791733,7,32.180402
-0.01,1,32.18582
-0.46364,8,32.223483
-0.754579,14,32.28845
0.030627,9,32.334073
-0.241996,9,32.377501
-0.447462,10,32.42472
-0.418962,8,32.46427
-0.01,1,32.472549
