method,initial_length,final_length,best_length,relative_improvement,num_steps,runtime_sec,instance_id,num_nodes,distribution,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt,total_reward,eval_distribution,eval_num_nodes
nearest_neighbor_two_opt,9.547131405782524,9.250330641749171,9.250330641749171,0.031087952120737162,5,0.010459464974701405,24,100,uniform,,,,,,,uniform,100
random_operator,9.547131405782524,9.547131405782524,9.547131405782524,0.0,7,0.009866771986708045,24,100,uniform,1.0,2.0,1.0,0.0,3.0,,uniform,100
fixed_schedule,9.547131405782524,8.417228937859896,8.417228937859896,0.11834994407202426,22,0.04614210012368858,24,100,uniform,0.0,8.0,7.0,7.0,0.0,,uniform,100
nearest_neighbor,9.353153399663347,9.353153399663347,9.353153399663347,0.0,0,0.0004195768851786852,25,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.353153399663347,9.22773054250648,9.22773054250648,0.013409686743871982,3,0.006259639048948884,25,100,uniform,,,,,,,uniform,100
random_operator,9.353153399663347,9.353153399663347,9.353153399663347,0.0,35,0.06260858103632927,25,100,uniform,1.0,10.0,6.0,8.0,10.0,,uniform,100
fixed_schedule,9.353153399663347,8.723427834692753,8.723427834692753,0.06732762075657388,31,0.06430403678677976,25,100,uniform,0.0,11.0,10.0,10.0,0.0,,uniform,100
nearest_neighbor,9.918412725965396,9.918412725965396,9.918412725965396,0.0,0,0.0004202360287308693,26,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.918412725965396,8.909582788186798,8.909582788186798,0.10171284112200575,11,0.02155869291163981,26,100,uniform,,,,,,,uniform,100
random_operator,9.918412725965396,9.918412725965396,9.918412725965396,0.0,9,0.015321832848712802,26,100,uniform,1.0,3.0,3.0,1.0,1.0,,uniform,100
fixed_schedule,9.918412725965396,9.23873281925012,9.23873281925012,0.06852708447350074,13,0.02700104215182364,26,100,uniform,0.0,5.0,4.0,4.0,0.0,,uniform,100
nearest_neighbor,9.422796763077026,9.422796763077026,9.422796763077026,0.0,0,0.0004728680942207575,27,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.422796763077026,9.156424165651076,9.156424165651076,0.028268952851633503,4,0.008863321039825678,27,100,uniform,,,,,,,uniform,100
random_operator,9.422796763077026,9.368371787567206,9.368371787567206,0.005775883411078377,55,0.10457904799841344,27,100,uniform,1.0,18.0,12.0,10.0,14.0,,uniform,100
fixed_schedule,9.422796763077026,8.995796919267084,8.995796919267084,0.04531561642962827,30,0.06471424805931747,27,100,uniform,0.0,10.0,10.0,10.0,0.0,,uniform,100
nearest_neighbor,9.347147243901125,9.347147243901125,9.347147243901125,0.0,0,0.00043575000017881393,28,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.347147243901125,9.050535271801394,9.050535271801394,0.03173288751744719,7,0.01447220309637487,28,100,uniform,,,,,,,uniform,100
random_operator,9.347147243901125,8.798316874217102,8.798316874217102,0.05871635006521657,23,0.04016400617547333,28,100,uniform,1.0,9.0,5.0,3.0,5.0,,uniform,100
fixed_schedule,9.347147243901125,9.072574959081576,9.072574959081576,0.02937498229726752,6,0.012975354911759496,28,100,uniform,0.0,2.0,2.0,2.0,0.0,,uniform,100
nearest_neighbor,9.952934211991856,9.952934211991856,9.952934211991856,0.0,0,0.0004241128917783499,29,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.952934211991856,8.736587229075386,8.736587229075386,0.12220988876335044,12,0.02445181692019105,29,100,uniform,,,,,,,uniform,100
random_operator,9.952934211991856,9.94497803407818,9.94497803407818,0.00079938013697415,20,0.037837100913748145,29,100,uniform,1.0,3.0,4.0,7.0,5.0,,uniform,100
fixed_schedule,9.952934211991856,9.318553471284515,9.318553471284515,0.06373806228348253,22,0.04618133115582168,29,100,uniform,0.0,8.0,7.0,7.0,0.0,,uniform,100
nearest_neighbor,10.255398252425143,10.255398252425143,10.255398252425143,0.0,0,0.00042342417873442173,30,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.255398252425143,9.670281021123877,9.670281021123877,0.05705455964744236,10,0.020194633165374398,30,100,uniform,,,,,,,uniform,100
random_operator,10.255398252425143,10.15263340329482,10.15263340329482,0.01002056152290552,15,0.028685583034530282,30,100,uniform,1.0,1.0,5.0,6.0,2.0,,uniform,100
fixed_schedule,10.255398252425143,9.283098396716378,9.283098396716378,0.09480859073208993,36,0.07627141289412975,30,100,uniform,0.0,12.0,12.0,12.0,0.0,,uniform,100
nearest_neighbor,9.381704064585493,9.381704064585493,9.381704064585493,0.0,0,0.0004410280380398035,31,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.381704064585493,8.612408579794916,8.612408579794916,0.0819995471499203,10,0.020582807948812842,31,100,uniform,,,,,,,uniform,100
random_operator,9.381704064585493,9.102909978550855,9.102909978550855,0.029716785363870492,6,0.011603927006945014,31,100,uniform,1.0,2.0,1.0,2.0,0.0,,uniform,100
fixed_schedule,9.381704064585493,8.50857995659376,8.50857995659376,0.09306668617779625,29,0.061674500117078424,31,100,uniform,0.0,10.0,10.0,9.0,0.0,,uniform,100
nearest_neighbor,10.016475860548493,10.016475860548493,10.016475860548493,0.0,0,0.0004342319443821907,32,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.016475860548493,9.22215946900534,9.22215946900534,0.0793009839590085,13,0.025868976954370737,32,100,uniform,,,,,,,uniform,100
random_operator,10.016475860548493,9.806344956344985,9.806344956344985,0.020978526492650224,19,0.03282329207286239,32,100,uniform,1.0,5.0,3.0,4.0,6.0,,uniform,100
fixed_schedule,10.016475860548493,9.618189103010803,9.618189103010803,0.03976316252170155,13,0.027665514964610338,32,100,uniform,0.0,5.0,4.0,4.0,0.0,,uniform,100
nearest_neighbor,9.902179751580498,9.902179751580498,9.902179751580498,0.0,0,0.0004307050257921219,33,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.902179751580498,9.458324559161138,9.458324559161138,0.044823988612054375,15,0.02928483416326344,33,100,uniform,,,,,,,uniform,100
random_operator,9.902179751580498,9.831380293186577,9.831380293186577,0.00714988620385534,5,0.008624374167993665,33,100,uniform,1.0,2.0,1.0,1.0,0.0,,uniform,100
fixed_schedule,9.902179751580498,8.686142286786968,8.686142286786968,0.12280502831706694,31,0.06450432306155562,33,100,uniform,0.0,11.0,10.0,10.0,0.0,,uniform,100
nearest_neighbor,10.517842343721117,10.517842343721117,10.517842343721117,0.0,0,0.0004360140301287174,34,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.517842343721117,10.403473291766076,10.403473291766076,0.010873813108951618,3,0.006231911014765501,34,100,uniform,,,,,,,uniform,100
random_operator,10.517842343721117,10.476620442054955,10.476620442054955,0.003919235554122065,11,0.019443206023424864,34,100,uniform,1.0,3.0,2.0,3.0,2.0,,uniform,100
fixed_schedule,10.517842343721117,9.783812303009487,9.783812303009487,0.0697890324577671,20,0.041111156111583114,34,100,uniform,0.0,7.0,7.0,6.0,0.0,,uniform,100
nearest_neighbor,10.306062677575332,10.306062677575332,10.306062677575332,0.0,0,0.0004319229628890753,35,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.306062677575332,10.069950477628673,10.069950477628673,0.022910029497531435,3,0.006251047132536769,35,100,uniform,,,,,,,uniform,100
random_operator,10.306062677575332,9.724303565794774,9.724303565794774,0.056448241193641405,3,0.004869503201916814,35,100,uniform,1.0,1.0,0.0,1.0,0.0,,uniform,100
fixed_schedule,10.306062677575332,8.733247131720175,8.733247131720175,0.15261071032271145,10,0.021098608151078224,35,100,uniform,0.0,4.0,3.0,3.0,0.0,,uniform,100
nearest_neighbor,9.972191502474146,9.972191502474146,9.972191502474146,0.0,0,0.00042507913894951344,36,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.972191502474146,9.661654668131247,9.661654668131247,0.031140279873872655,4,0.008335242979228497,36,100,uniform,,,,,,,uniform,100
random_operator,9.972191502474146,9.40596230773747,9.40596230773747,0.0567808183984626,26,0.04811184713616967,36,100,uniform,1.0,8.0,7.0,6.0,4.0,,uniform,100
fixed_schedule,9.972191502474146,9.617725133398515,9.617725133398515,0.035545483556717314,12,0.025456071132794023,36,100,uniform,0.0,4.0,4.0,4.0,0.0,,uniform,100
nearest_neighbor,9.51291677719223,9.51291677719223,9.51291677719223,0.0,0,0.00044959201477468014,37,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.51291677719223,8.72931145707336,8.72931145707336,0.08237277151394923,16,0.031712123891338706,37,100,uniform,,,,,,,uniform,100
random_operator,9.51291677719223,9.414832174273718,9.414832174273718,0.010310676022487147,9,0.014654195867478848,37,100,uniform,1.0,3.0,2.0,1.0,2.0,,uniform,100
fixed_schedule,9.51291677719223,8.591342162512113,8.591342162512113,0.09687613549712165,31,0.06394719891250134,37,100,uniform,0.0,11.0,10.0,10.0,0.0,,uniform,100
nearest_neighbor,10.043192088545238,10.043192088545238,10.043192088545238,0.0,0,0.00043250503949820995,38,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.043192088545238,10.043192088545238,10.043192088545238,0.0,1,0.0023660180158913136,38,100,uniform,,,,,,,uniform,100
random_operator,10.043192088545238,9.718708483874913,9.718708483874913,0.0323088119603343,8,0.012809671927243471,38,100,uniform,1.0,4.0,0.0,1.0,2.0,,uniform,100
fixed_schedule,10.043192088545238,8.970271720685947,8.970271720685947,0.10683061305608309,27,0.05586355086416006,38,100,uniform,0.0,9.0,9.0,9.0,0.0,,uniform,100
nearest_neighbor,9.777225255482273,9.777225255482273,9.777225255482273,0.0,0,0.00042266398668289185,39,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.777225255482273,9.673886200596423,9.673886200596423,0.010569364230194703,2,0.0043163790833204985,39,100,uniform,,,,,,,uniform,100
random_operator,9.777225255482273,9.76168863901884,9.76168863901884,0.0015890619329569629,73,0.13585248799063265,39,100,uniform,1.0,12.0,18.0,23.0,19.0,,uniform,100
fixed_schedule,9.777225255482273,9.230942960275092,9.230942960275092,0.055872937457472446,29,0.05955686396919191,39,100,uniform,0.0,10.0,10.0,9.0,0.0,,uniform,100
nearest_neighbor,9.084667008841198,9.084667008841198,9.084667008841198,0.0,0,0.00041973311454057693,40,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.084667008841198,8.964115203864528,8.964115203864528,0.01326980998415772,4,0.008188084932044148,40,100,uniform,,,,,,,uniform,100
random_operator,9.084667008841198,9.084667008841198,9.084667008841198,0.0,11,0.021092073060572147,40,100,uniform,1.0,1.0,3.0,5.0,1.0,,uniform,100
fixed_schedule,9.084667008841198,8.70495471292254,8.70495471292254,0.04179705161995724,18,0.03767614089883864,40,100,uniform,0.0,6.0,6.0,6.0,0.0,,uniform,100
nearest_neighbor,9.947340009350286,9.947340009350286,9.947340009350286,0.0,0,0.0004204928409308195,41,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.947340009350286,9.324879008068738,9.324879008068738,0.06257562330195295,10,0.019663094077259302,41,100,uniform,,,,,,,uniform,100
random_operator,9.947340009350286,9.606323779312772,9.606323779312772,0.0342821527882797,16,0.028474305057898164,41,100,uniform,1.0,6.0,5.0,2.0,2.0,,uniform,100
fixed_schedule,9.947340009350286,9.483210749243934,9.483210749243934,0.046658630314242874,18,0.03765884810127318,41,100,uniform,0.0,6.0,6.0,6.0,0.0,,uniform,100
nearest_neighbor,9.353952721464243,9.353952721464243,9.353952721464243,0.0,0,0.0004200360272079706,42,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.353952721464243,9.015861944169135,9.015861944169135,0.03614416144303366,6,0.0120176300406456,42,100,uniform,,,,,,,uniform,100
random_operator,9.353952721464243,9.353952721464243,9.353952721464243,0.0,13,0.02222119807265699,42,100,uniform,1.0,4.0,5.0,1.0,2.0,,uniform,100
fixed_schedule,9.353952721464243,8.852183127688601,8.852183127688601,0.05364251976859423,26,0.05332081997767091,42,100,uniform,0.0,9.0,9.0,8.0,0.0,,uniform,100
nearest_neighbor,9.509148926419702,9.509148926419702,9.509148926419702,0.0,0,0.00041525019332766533,43,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.509148926419702,9.254715843925105,9.254715843925105,0.026756661869885495,5,0.010199977783486247,43,100,uniform,,,,,,,uniform,100
random_operator,9.509148926419702,9.509148926419702,9.509148926419702,0.0,1,0.0004348361399024725,43,100,uniform,1.0,0.0,0.0,0.0,0.0,,uniform,100
fixed_schedule,9.509148926419702,8.689422493872565,8.689422493872565,0.08620397460278004,22,0.046177163952961564,43,100,uniform,0.0,8.0,7.0,7.0,0.0,,uniform,100
nearest_neighbor,9.042513665065586,9.042513665065586,9.042513665065586,0.0,0,0.00042375712655484676,44,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.042513665065586,8.986659855596814,8.986659855596814,0.00617680122337607,2,0.004322758177295327,44,100,uniform,,,,,,,uniform,100
random_operator,9.042513665065586,9.042513665065586,9.042513665065586,0.0,2,0.0015327299479395151,44,100,uniform,1.0,0.0,0.0,0.0,1.0,,uniform,100
fixed_schedule,9.042513665065586,8.57264299777924,8.57264299777924,0.05196239504747682,17,0.03529865597374737,44,100,uniform,0.0,6.0,6.0,5.0,0.0,,uniform,100
nearest_neighbor,9.25390118210603,9.25390118210603,9.25390118210603,0.0,0,0.0004408468957990408,45,100,uniform,,,,,,,uniform,100
